@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___5_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___15_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___30_min                               numeric
@ATTRIBUTE DES460_Plus_0point2%_MMS___45_min                                numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___90_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___15_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___30_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___60_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___90_min                         numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___120_min                        numeric
@ATTRIBUTE dun1__Plus_0point02%_MMs___30_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___90_min                                numeric
@ATTRIBUTE dun1__Plus_0point02%_MMS___120_min                               numeric
@ATTRIBUTE wt_plus_gamma_5_min                                              numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE wt_plus_gamma_30_min                                             numeric
@ATTRIBUTE wt_plus_gamma_45_min                                             numeric
@ATTRIBUTE wt_plus_gamma_60_min                                             numeric
@ATTRIBUTE wt_plus_gamma_90_min                                             numeric
@ATTRIBUTE wt_plus_gamma_120_min                                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___30_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___60_min                            numeric
@ATTRIBUTE DES460_wt___mock_irradiation___90_min                            numeric
@ATTRIBUTE mec1_plus_gamma_5_min                                            numeric
@ATTRIBUTE mec1_plus_gamma_10_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_20_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_30_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_45_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_60_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_90_min                                           numeric
@ATTRIBUTE mec1_plus_gamma_120_min                                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___5_min                           numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___60_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE DES460_vs_DES460_YPD_log_phase_control                           numeric
@ATTRIBUTE DES459_mec1___log_phase_IR_time_=_0_sample                       numeric
@ATTRIBUTE DES459_mec1___log_phase_MMS_time_=_0_sample                      numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison                    numeric
@ATTRIBUTE DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2                 numeric
@ATTRIBUTE DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA                     numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE pRS_ROX1_GAL_media                                               numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
0.153,0.194,0.094,0.189,0.222,0.269,0.234,0.409,0.253,0.122,0.423,0.176,0.011,?,0.148,-0.134,-0.184,0.39,0.221,0.238,0.009,-0.059,-0.431,-0.149,-0.21,0.02,-0.024,-0.049,0.077,0.72,0.492,0.262,0.311,-0.103,-0.105,-0.024,0.415,-0.265,-0.558,-0.511,0.501,0.191,-0.134,-0.28,0.031,0.156,0.806,-0.511,0.513,-0.736,-0.283,-0.083,14/07/07@16/01
0.17,0.35,0.67,0.75,0.62,0.77,0.81,0.42,0.25,0.65,0.59,0.73,0.54,0.49,0.66,0.63,0.73,0.28,0.18,0.52,0.55,0.5,0.41,-0.02,-0.38,0.14,0.4,0.32,0.55,0.32,0.04,0.27,0.49,0.22,0.46,0.14,0.06,-0.34,0.32,0.11,0.92,1.16,0.39,-0.25,0.1,0.72,-0.13,-0.01,0.02,-0.055,-0.21,0.33,14/07/11@14/13/01/01@30
-0.483,0.38,-0.16,-0.11,0.52,0.63,-0.25,-1.197,-0.82,-0.06,-0.88,-0.94,-0.46,-0.828,-0.515,-0.637,?,-0.68,-0.73,-0.04,-0.06,0.1,0.66,0.1,0.19,0.343,0.668,0.548,0.177,-0.19,0.27,0.31,-0.41,0.04,-0.02,0.12,0.26,-0.146,0.067,0.416,0.469,0.977,0.799,-0.19,-2.336,?,-0.02,0.065,0.507,0.805,0.09,0.377,01/04@01/05/02/04@01/05/02/07
-0.05,-0.132,-0.165,-0.214,-0.075,-0.01,-0.215,-0.071,-0.076,-0.17,-0.063,-0.049,-0.075,?,-0.216,-0.13,-0.263,?,-0.445,-0.213,-0.314,0.271,-0.319,-0.306,0.018,-0.081,0.194,0.156,0.172,-0.215,0.196,-0.137,-0.392,-0.622,-0.207,-0.074,-0.162,-0.281,0.144,0.129,-0.051,0.458,-0.214,-0.463,-0.137,?,-0.174,0.127,-0.285,-0.108,-0.101,-0.206,01/06
-0.23,-1.328,-0.855,-0.895,-1.041,-0.937,-0.892,0.67,0.602,0.091,0.698,0.741,0.716,0.628,-0.27,0.06,0.13,-1.469,-0.287,-0.247,-0.007,0.389,0.183,-0.121,-0.211,-1.159,-0.016,-0.648,-0.641,-1.181,0.113,0.757,0.749,0.264,0.312,0.196,0.069,-1.345,0.457,0.066,-0.877,-1.966,-1.468,0.076,0.641,-0.456,0.204,-0.056,0.319,0.06,0.289,-0.205,12/01/01@16/03/03@34/11/03/07@41/01/01
0.076,0.019,-0.057,0.107,0.381,0.237,0.223,-0.825,-0.607,0.13,-0.442,-0.596,-0.718,-0.307,-0.262,-0.492,-0.359,0.94,0.289,-0.352,-0.312,-0.192,-0.851,-0.546,-0.249,-0.682,-0.666,-0.428,-0.337,0.537,-0.31,-1.092,-1.346,-0.918,-1.444,-1.677,-0.753,-0.11,-1.409,-1.177,2.12,2.364,1.338,0.263,0.362,-0.032,-0.151,0.14,-0.309,-0.805,-0.863,-0.216,20/01/01/07/07@20/03@20/09/13
0.16,-0.15,-0.1,-0.01,-0.16,-0.3,-0.15,0.12,-0.22,-0.37,-0.25,-0.08,-0.28,-0.08,0.13,0.38,0.14,0.43,0.27,0.19,0.05,-0.18,0.02,-0.15,-0.11,0.23,0.33,0.02,0.23,-0.03,-0.05,-0.18,0.09,-0.17,0,-0.08,-0.14,-0.21,0.29,0.27,0.17,0.14,-0.29,-0.047,0,0.481,-0.14,-0.03,-0.102,0.06,0.1,0.15,14/07/05@14/13/01
0.094,0.393,0.628,0.643,0.625,?,0.691,-0.335,0.058,0.535,0.425,0.441,0.567,0.585,0.419,0.39,0.505,-0.356,-0.011,0.368,0.637,0.748,0.544,0.696,0.263,-0.204,0.589,0.454,0.428,-1.105,-1.02,-0.574,-0.424,-0.263,0.153,-0.188,-0.56,0.075,0.568,0.401,0.492,-0.33,0.033,0.053,-0.45,0.227,-0.047,0.105,0.352,0.374,-0.043,-0.499,20/01/01/01/01@34/01/01/01
?,-0.49,-0.44,-0.42,-0.26,-0.42,-0.42,-0.628,-0.36,-0.33,-0.35,-0.32,-0.1,-0.05,-0.282,-0.475,-0.269,-0.917,0.127,0.467,0.518,0.084,-0.061,-0.141,-0.097,0.524,0.72,1.273,1.014,0.004,0.148,0.12,?,0.325,0.065,0.124,0,0.179,0.795,0.693,0.134,0.331,0.425,0.01,-0.155,-0.697,-0.011,-0.089,-0.168,0.528,-0.233,0.196,34/11/03/07@40/01@41/01/01
-0.03,-0.245,-0.058,-0.355,-0.046,-0.264,-0.026,0.46,0.431,0.257,0.488,0.418,0.401,0.346,0.03,0.18,0.14,-0.297,-0.063,-0.175,-0.135,-0.111,-0.546,-0.425,-0.371,-0.187,0.005,-0.304,0.026,0.146,0.247,0.186,0.143,0.195,0.246,0.254,0.11,-0.955,-0.453,-0.347,0.032,-0.217,-0.503,-0.212,0.096,-1.012,-0.088,0.089,-0.081,-0.26,-0.132,0.003,01/03/16/01@11/04/01@11/04/03@16/03/03
-0.371,0.204,0.067,0.16,0.08,-0.164,0.062,-0.385,0.033,0.294,0.331,-0.138,0.191,-0.135,0,-0.014,-0.087,-0.256,-0.121,0.235,0.188,0.03,-0.134,-0.162,-0.066,0.001,-0.06,-0.506,-0.498,-0.933,-0.395,-0.225,-0.137,-0.421,-0.561,-0.544,-0.185,0.193,-0.318,-0.12,0.925,0.307,0.365,-0.245,-0.469,-0.497,-0.077,0.212,0.342,?,0.085,-0.087,14/01@14/04@14/07/02/02@16/01@32/01/07
-0.108,-0.33,-0.162,-0.189,-0.573,-0.447,-0.486,0.276,-0.083,-0.065,-0.105,-0.05,-0.054,-0.221,-0.226,-0.179,-0.453,-0.124,0.078,-0.291,-0.202,-0.225,-0.434,-0.378,-0.374,-0.278,-0.135,-0.8,-0.455,-0.088,0,-0.106,0.137,-0.227,-0.058,-0.401,-0.285,-0.083,0.336,-0.02,-0.097,-0.603,-0.661,0.2,-0.343,-0.12,0.075,0.35,0.07,-0.22,-0.008,0.139,10/03/02@43/01/03/09
-0.02,-0.011,0.226,0.152,0.132,0.459,0.131,0.23,0.175,0.056,0.244,0.272,0.222,?,0.06,0.29,0.45,-0.17,0.031,-0.271,-0.155,0.051,-0.368,-0.285,-0.257,-0.159,0.451,0.028,-0.012,0.132,0.279,0.309,0.408,0.21,0.241,-0.029,-0.106,-0.199,0.502,0.134,0.016,-0.004,-0.24,-0.139,-0.209,0.208,-0.267,0.159,0.263,-0.059,-0.243,-0.009,20/09/07@20/09/18
-0.217,-0.37,-1.081,-0.925,-0.836,-0.734,-0.776,-0.057,-0.283,-0.498,-0.761,-0.65,-0.561,-0.376,?,?,-0.383,-0.79,?,?,-0.139,-0.061,0.115,0.381,?,-0.207,0.287,-0.145,0.65,-0.41,-0.785,?,-0.147,?,?,-0.017,0.518,0.436,-0.295,?,-1.649,-0.591,-0.33,-0.187,?,?,-0.103,-0.078,-0.473,0.191,?,-0.558,01/04@12/04/02@16/19/03
0.03,0.237,0.085,0.162,0.173,0.334,0.366,0.07,0.151,-0.193,0.119,0.166,0.002,-0.27,0.21,-0.13,-0.1,-0.292,-0.092,-0.149,-0.285,-0.258,-0.231,0.016,-0.252,-0.2,0.337,0.194,0.228,-0.21,-0.019,0.054,0.097,-0.149,-0.047,0.075,0.096,-0.016,0.329,0.377,-0.001,-0.279,-0.325,-0.065,-0.057,0.217,-0.199,0.164,0.315,0.066,-0.131,?,20/01/10@20/09/04
-0.03,0.248,0.37,0.294,0.271,0.131,0.324,?,-0.491,-0.301,-0.331,-0.033,?,-0.187,?,-0.424,-0.188,0.664,0.112,-0.028,-0.134,-0.147,-0.28,0.026,0.077,0.487,0.367,0.052,0.358,-0.099,0.029,-0.5,-0.184,-0.405,0.226,-0.741,-0.674,0.471,0.208,0.245,0.195,0.516,0.045,-0.139,-0.263,-0.091,0.146,-0.118,?,0.185,-0.028,?,43/01/03/09
-0.008,-0.295,-0.083,-0.005,-0.131,-0.185,-0.152,0.346,-0.007,-0.217,0.181,0.142,0.117,0.008,0.051,0.089,0.132,-0.419,-1.127,0.17,0.04,-1.124,-0.12,-0.395,-0.713,0.091,-0.086,-0.354,-0.189,-0.504,-0.678,0.023,0.814,0.641,-0.243,-0.216,0.547,-1.205,0.052,-0.061,0.37,-0.309,-0.022,0.33,0.387,?,-0.013,-0.054,0.11,-0.143,-0.282,0.139,10/03/01@14/01@16/01
0.227,0.895,0.712,0.575,0.439,0.25,0.065,0.274,0.556,0.611,0.754,0.652,0.266,0.283,1.034,0.783,0.607,0.003,0.092,-0.539,-0.376,-0.097,-0.355,-0.576,-0.756,-0.275,0.194,-0.327,-0.567,0.287,0.305,0.365,0.476,-0.068,-0.363,0,0.017,0.113,-0.465,-0.283,-0.691,-0.927,-0.479,-0.16,-0.83,-0.812,-0.035,0.145,-0.236,0.169,-0.136,-0.024,01/01/09/06/01
0.11,0.2,0.14,0.32,0.25,0.08,0.24,0.01,-0.3,-0.1,-0.19,-0.01,-0.22,0.07,-0.02,-0.15,-0.19,1.17,0.66,0.26,0.46,0.18,-0.32,0.23,0.29,0.3,0.629,0.46,0.42,0.71,0.49,0.041,0.05,0.09,0.03,0.61,0.407,0.54,0.05,0.44,0.07,0.16,-0.31,0.11,0.208,-2.807,-0.03,0.04,0.008,0.41,0.69,0.43,01/03/10@10/03/01@10/03/02@30/01/05/05/01@30/01/09/07@34/11/12@43/01/03/09
0.17,0.221,0.235,0.487,0.677,0.749,0.795,-0.2,-0.01,0.251,0.249,0.142,0.536,0.621,0.13,0.67,0.72,0.763,0.707,0.591,0.596,0.661,0.27,0.45,0.698,0.093,0.635,0.462,0.429,0.143,-0.278,-0.892,-0.624,-0.487,-0.053,-0.207,-0.502,0.646,0.107,0.142,0.186,-0.221,-0.145,0.19,-0.207,-0.624,0.018,0.17,0.113,-0.114,-0.628,0.018,20/01/07@20/09/13
-0.415,-0.485,-0.133,-0.163,-0.167,-0.146,-0.408,0.175,0.196,0.064,0.276,0.172,0.21,0.126,-0.146,-0.086,0.152,-0.233,0.535,0.193,0.24,-0.189,0.452,0.307,0.339,0.548,0.223,-0.066,0.083,0.066,0.029,0.366,-0.128,0.295,0.089,0.272,0.06,-1.043,-0.242,0.411,0.507,-0.031,0.175,0.332,0.486,0.493,-0.188,-0.155,-0.423,-0.14,-0.145,0.055,01/03/16@10/01/05/01@10/01/05/03/01@10/03/01/02@10/03/01/03@10/03/02@32/01/09
0,-0.214,-0.282,-0.113,-0.119,0.031,-0.046,0.51,0.331,0.111,0.49,0.502,0.291,0.253,-0.07,0.55,0.39,-0.689,-0.52,-0.496,-0.29,-0.152,-0.445,-0.437,0.38,-0.288,0.351,-0.479,-0.387,-0.095,0.212,0.547,0.3,0.195,0.031,-0.017,0.287,-0.148,-0.27,-0.311,-0.11,-0.275,-0.061,0.005,-0.263,-0.722,-0.031,0.166,0.359,0.108,0.263,-0.674,01/07/01
-0.126,-0.369,-0.305,-0.184,-0.007,-0.089,-0.205,-0.222,-0.125,-0.199,-0.194,-0.247,-0.214,-0.174,-0.181,-0.139,-0.038,-0.307,-0.084,-0.508,-0.565,-0.218,-0.417,-0.362,-0.465,-0.218,0.614,0.576,0.741,-0.226,-0.145,-0.139,0.124,0.079,0.237,-0.086,0.232,-0.537,-0.234,0.162,-0.267,-0.522,-0.33,-0.023,0.237,?,0.942,-0.6,-1.27,-0.144,0.07,0.45,10/03/01/01/09@10/03/01/01/11@14/07/07@14/13/01/01
0.25,0.225,0.481,0.589,0.399,0.517,0.83,0.707,0.637,0.656,1.054,0.744,0.747,0.819,0.263,0.498,0.551,0.324,0.73,0.63,0.391,0.531,0.771,0.322,1.036,0.139,0.12,-0.374,-0.159,1.232,1.159,1.203,0.903,0.481,0.325,0.738,0.821,0.074,-0.033,0.192,0.212,-0.083,-0.559,-0.198,0.245,0.141,-0.319,0.084,-0.199,0.023,0.27,0.355,16/01@20/01/21@20/09/13@20/09/16/09/03@34/11/03/07@40/01@42/04/03@42/29@43/01/03/05
-0.179,0.222,0.176,0.016,-0.073,-0.007,0.174,0.149,-0.54,0.072,-0.337,-0.33,-0.379,-0.133,-0.045,-0.322,-0.239,0.221,0.841,0.1,0.211,-0.173,-0.053,0.291,?,0.506,0.873,0.2,0.284,-0.344,-0.322,-0.304,-0.388,-0.617,1.473,-0.252,0.074,0.714,-0.443,-0.58,-0.649,0.545,-0.138,0.082,?,?,-0.076,0.248,-0.067,?,-0.869,0.493,32/01/01@32/01/03@32/01/04@32/01/05
-0.299,0.12,-0.27,-0.15,-0.01,-0.39,-0.13,?,-0.62,-0.09,-0.49,-0.68,-0.33,-0.26,-0.893,-0.907,-0.524,-0.31,-0.21,-0.219,-0.07,-0.62,-0.39,-0.71,-0.55,-0.03,0.14,0.05,-0.5,-0.33,-0.01,-0.261,-0.34,-0.36,-0.63,-0.38,-0.23,0.84,-0.24,0.16,-1,-1.06,-0.41,-0.51,-1.424,-0.85,0.14,-0.01,0.19,0.055,-0.99,?,01/04/04@11/02/03/04@16/03/01@32/01/11
-0.02,0.296,0.196,0.321,0.193,0.085,0.323,?,0.095,0.068,0.461,0.239,0.031,0.321,0.109,0.221,0.028,-0.254,-0.491,-0.594,-0.662,-0.789,-0.708,-0.56,-0.417,-0.119,0.383,0.116,-0.069,-0.064,-0.202,-0.18,-0.155,-0.385,-0.134,-0.094,-0.091,0.381,-0.021,-0.064,0.217,-0.234,-0.332,0.14,-0.691,-0.18,0.033,0.205,-0.022,0.113,0.07,0.063,01/04@10/03/01/01/03@10/03/01/01/09@11/02/01@11/02/02@14/07/03@32/01/09@34/01@34/07/01@43/01/03/05
-0.15,-0.08,-0.17,-0.09,0.14,-0.21,-0.18,-0.18,-0.07,-0.19,-0.22,-0.21,-0.27,0.2,-0.24,-0.27,-0.05,0.383,-0.05,0.22,-0.19,0.127,-0.25,-0.08,-0.18,0.18,0.38,0.3,0.36,-0.02,0.027,0.1,-0.12,-0.06,-0.21,0.22,0.19,0.51,0.23,0.23,-0.45,-1.14,0.1,-0.27,?,0.829,-0.3,-0.06,0.32,0.062,-0.26,0.08,02/45/11@10/03/01/01/11@10/03/04/09@10/03/05/01@20/09/07@20/09/14
0.092,0.306,-0.164,-0.183,0.114,0.087,0.141,-0.344,-0.429,-0.212,-0.597,-0.723,-0.527,?,-0.176,-0.087,-0.085,0.138,0.339,0.129,0.141,-0.747,-0.36,0.146,0.147,0.202,0.285,-0.663,0,-0.098,0.333,2.033,0.376,-0.292,0.243,-0.218,1.89,1.542,-0.093,-0.046,-0.949,-0.713,-0.407,-0.052,?,?,-0.13,0.225,0.406,-0.182,-0.205,-0.348,20/03@20/09/04
0.173,0.534,0.385,0.405,0.602,0.66,0.595,0.185,0.047,0.254,0.263,0.236,-0.028,-0.164,0.41,0.398,0.315,0.402,0.229,-0.157,-0.193,-0.218,-0.687,-0.443,-0.38,-0.234,-0.508,-0.782,-0.569,0.91,0.69,0.412,0.287,0.032,-0.073,-0.188,-0.041,-0.174,-1.066,-0.644,0.822,0.98,0.118,-0.41,-1.28,-0.763,0.07,0.253,0.01,-0.468,-0.133,0.001,02/19@10/03/01/03@16/01@16/03/01@30/01/05/05/01@40/01@43/01/03/05@43/01/03/09
0.18,?,1.58,?,?,?,-1.322,0.457,?,?,?,?,?,?,0.154,0.195,0.086,0.231,0.102,-0.066,0.109,0.371,-0.156,-0.253,-0.107,-0.321,-0.548,-0.729,-0.478,0.104,-0.207,-0.078,0.068,0.352,0.084,0.057,-0.102,-1.3,-0.735,-0.756,?,?,?,0.193,0.834,1.091,?,-0.438,-0.387,-0.518,0.008,0.091,14/07@14/13/01/01@16/01
0.553,0.539,0.001,-0.184,0.269,0.644,0.959,0.247,-0.003,0.083,0.101,0.209,0.437,0.795,-0.177,0.322,0.376,1.415,1.155,0.353,-0.289,-0.588,-0.717,0.54,0.343,-0.268,-0.311,0.488,-0.207,0.011,-0.503,-1.386,-2.136,-1.969,-1.608,-1.351,-1.646,0.401,-0.449,-0.564,-1.295,-0.98,-2.09,0.224,0.808,0.462,-0.468,-0.387,0.106,0.555,-0.438,-0.469,20/01/03/01@20/09/18
-0.05,-0.143,0.242,0.319,0.13,0.183,-0.131,-0.65,-0.402,0.108,0.037,-0.317,0.036,0.159,-0.35,0.16,-0.15,0.76,0.044,0.035,0.312,0.13,-0.181,-0.222,0.005,0.143,0.187,-0.529,-0.392,-0.211,?,-0.697,-0.18,-0.649,-0.42,-0.298,-0.245,0.716,-0.281,0.142,-0.706,-0.898,0.122,-0.223,-0.091,-0.069,0.003,0.14,0.176,0.17,-0.315,-0.969,20/01/01/01@20/01/01/07@20/01/03@20/01/11@34/01/01@34/01/03
0.078,0.263,0.322,0.141,-0.019,0.125,0.403,0.184,-0.029,0.021,0.142,-0.206,-0.031,0.039,-0.087,-0.087,0.072,0.205,0.146,-0.116,0.144,0.037,-0.279,-0.034,0.307,-0.024,0.264,-0.727,-0.013,0.124,0.165,0.043,0.374,-0.269,-0.124,-0.43,-0.105,0.692,0.247,-0.029,-0.262,-0.315,-0.087,-0.047,-0.038,0.425,0.894,-0.528,0.05,-0.552,-0.242,?,01/04@02/13/03@14/10@16/19/03@20/03/22@42/16
